Model,Test R²,Test MSE,Test MAE,CV R² Mean,CV R² Std,CV R² Range
Gradient Boosting,0.6510251718592684,0.829024601731122,0.7642003010694143,0.6128228963140021,0.05159950171463701,0.566-0.709
Random Forest,0.6508654722984332,0.8294039840078423,0.7253722863618133,0.6264827835948518,0.06630115279536199,0.542-0.726
Linear Regression,0.6413791001545184,0.8519398096729263,0.7469401752618077,0.6289359861906847,0.07325015932168913,0.519-0.730
SVR,0.5634247674455916,1.037128122456253,0.8433836343364828,0.5855746850306229,0.03291222330211439,0.544-0.638
KNN,0.5130511939189488,1.1567955837261452,0.9059252897721796,0.5217510840414381,0.04971594459175118,0.444-0.581
